STT,Datetime,ProcessingTime,empty,empty_Conf,excess_solder,excess_solder_Conf,exposed_copper,exposed_copper_Conf,misaligned_header,misaligned_header_Conf,missing_component,missing_component_Conf,scratched,scratched_Conf,solder_bridge,solder_bridge_Conf,Status
1,20260506_170511,1.068,0,,1,0.44,0,,1,0.76,1,0.64,0,,1,0.37,1
2,20260506_170515,0.076,0,,1,0.44,0,,1,0.76,1,0.64,0,,1,0.37,1
3,20260506_170524,0.073,0,,1,0.44,0,,1,0.76,1,0.64,0,,1,0.37,1
4,20260506_170524,0.069,0,,1,0.44,0,,1,0.76,1,0.64,0,,1,0.37,1
5,20260506_171846,0.773,0,,1,0.47,0,,1,0.66,1,0.83,0,,1,0.39,1
6,20260506_171857,0.073,0,,1,0.49,0,,1,0.69,1,0.83,0,,1,0.34,1
7,20260506_172523,0.795,0,,1,0.49,0,,1,0.69,1,0.79,0,,1,0.32,1
8,20260506_172713,0.727,0,,1,0.47,0,,1,0.68,1,0.82,0,,1,0.38,1
9,20260506_172845,0.072,0,,1,0.48,0,,1,0.69,1,0.81,0,,1,0.35,1
10,20260506_173207,0.076,0,,1,0.50,0,,1,0.66,1,0.76,0,,1,0.54,1
11,20260506_173227,0.071,0,,1,0.51,0,,1,0.68,1,0.75,0,,1,0.58,1
12,20260506_173232,0.066,0,,1,0.50,0,,1,0.65,1,0.73,0,,1,0.55,1
13,20260506_173236,0.075,0,,1,0.51,0,,1,0.65,1,0.76,0,,1,0.59,1
14,20260506_173243,0.069,1,0.66,0,,0,,0,,0,,0,,0,,1
15,20260506_173427,0.078,0,,1,0.51,0,,1,0.65,1,0.75,0,,1,0.55,1
16,20260506_174135,0.070,1,0.64,0,,0,,0,,0,,0,,0,,1
17,20260506_174137,0.070,1,0.66,0,,0,,0,,0,,0,,0,,1
18,20260506_174139,0.066,1,0.55,0,,0,,0,,0,,0,,0,,1
19,20260506_174140,0.069,1,0.63,0,,0,,0,,0,,0,,0,,1
20,20260506_174142,0.068,1,0.62,0,,0,,0,,0,,0,,0,,1
21,20260506_174144,0.062,0,,1,0.59,0,,1,0.69,1,0.86,1,0.33,1,0.41,1
22,20260506_174145,0.069,1,0.64,0,,0,,0,,0,,0,,0,,1
23,20260506_174147,0.074,1,0.65,0,,0,,0,,0,,0,,0,,1
24,20260506_174149,0.066,1,0.56,0,,0,,0,,0,,0,,0,,1
25,20260506_174151,0.068,1,0.62,0,,0,,0,,0,,0,,0,,1
26,20260506_174152,0.066,1,0.61,0,,0,,0,,0,,0,,0,,1
27,20260506_174154,0.066,0,,1,0.57,0,,1,0.70,1,0.87,1,0.31,1,0.43,1
