caminput,grayfilter,shape01,pos01,label01,switch01,posy01,posy02,posx02,posx01,pos02,switch02,totalarea01,resultdisplay,numoflabels01,shape02,
1,1,1,1,-1,1,167,324,82,229,1,1,628,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,602,1,15,1,
1,1,1,1,1,1,169,323,81,225,1,1,655,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,167,321,82,227,1,1,647,1,12,1,
1,1,1,1,1,1,167,322,82,229,1,1,386,1,13,1,
1,1,1,1,-1,1,167,323,82,229,1,1,682,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,646,1,15,1,
1,1,1,1,1,1,169,322,81,225,1,1,671,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,226,1,1,678,1,12,1,
1,1,1,1,1,1,167,322,82,229,1,1,396,1,13,1,
1,1,1,1,-1,1,167,324,82,229,1,1,650,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,605,1,15,1,
1,1,1,1,1,1,169,322,81,225,1,1,648,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,229,1,1,651,1,12,1,
1,1,1,1,1,1,167,322,82,229,1,1,365,1,13,1,
1,1,1,1,-1,1,167,323,82,229,1,1,652,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,640,1,15,1,
1,1,1,1,1,1,169,322,81,225,1,1,668,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,228,1,1,700,1,13,1,
1,1,1,1,1,1,167,322,82,230,1,1,389,1,13,1,
1,1,1,1,-1,1,167,324,82,229,1,1,674,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,636,1,15,1,
1,1,1,1,1,1,169,322,81,225,1,1,661,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,226,1,1,670,1,12,1,
1,1,1,1,1,1,167,322,82,229,1,1,381,1,13,1,
1,1,1,1,-1,1,167,324,82,229,1,1,668,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,642,1,15,1,
1,1,1,1,1,1,169,323,81,227,1,1,665,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,227,1,1,648,1,12,1,
1,1,1,1,1,1,167,322,82,229,1,1,388,1,13,1,
1,1,1,1,-1,1,167,324,82,229,1,1,674,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,613,1,15,1,
1,1,1,1,1,1,169,322,81,228,1,1,665,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,227,1,1,676,1,12,1,
1,1,1,1,1,1,167,322,82,229,1,1,389,1,13,1,
1,1,1,1,-1,1,167,324,82,229,1,1,676,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,641,1,15,1,
1,1,1,1,1,1,169,322,81,225,1,1,669,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,228,1,1,678,1,12,1,
1,1,1,1,1,1,167,322,82,229,1,1,392,1,13,1,
1,1,1,1,-1,1,167,323,82,229,1,1,677,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,641,1,15,1,
1,1,1,1,1,1,169,322,81,225,1,1,660,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,225,1,1,675,1,12,1,
1,1,1,1,1,1,167,322,82,230,1,1,388,1,13,1,
1,1,1,1,-1,1,167,323,82,229,1,1,657,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,640,1,15,1,
1,1,1,1,1,1,169,322,81,227,1,1,665,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,167,321,82,227,1,1,669,1,12,1,
1,1,1,1,1,1,167,322,82,230,1,1,392,1,13,1,
1,1,1,1,-1,1,167,324,82,229,1,1,662,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,639,1,15,1,
1,1,1,1,1,1,169,322,81,227,1,1,657,1,14,1,
1,1,1,1,1,1,167,321,82,227,1,1,724,1,13,1,
1,1,1,1,1,1,167,322,82,229,1,1,417,1,13,1,
1,1,1,1,-1,1,167,323,82,229,1,1,704,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,669,1,15,1,
1,1,1,1,1,1,169,322,81,228,1,1,701,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,227,1,1,725,1,13,1,
1,1,1,1,1,1,167,322,82,229,1,1,425,1,13,1,
1,1,1,1,-1,1,167,324,82,229,1,1,708,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,669,1,15,1,
1,1,1,1,1,1,169,322,81,228,1,1,697,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,226,1,1,725,1,13,1,
1,1,1,1,1,1,167,322,82,229,1,1,417,1,13,1,
1,1,1,1,-1,1,167,324,82,229,1,1,689,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,674,1,15,1,
1,1,1,1,1,1,169,322,81,227,1,1,701,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,167,321,82,227,1,1,722,1,13,1,
1,1,1,1,1,1,167,322,82,229,1,1,417,1,13,1,
1,1,1,1,-1,1,167,323,82,229,1,1,689,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,674,1,15,1,
1,1,1,1,1,1,169,322,81,227,1,1,699,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,226,1,1,747,1,14,1,
1,1,1,1,1,1,167,322,82,229,1,1,411,1,13,1,
1,1,1,1,-1,1,167,323,82,229,1,1,682,1,15,1,
1,1,1,1,-1,1,167,324,82,229,1,1,654,1,15,1,
1,1,1,1,-1,1,169,322,81,227,1,1,648,1,15,1,
1,1,1,1,1,1,169,322,81,225,1,1,673,1,14,1,
1,1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,-1,
1,1,1,1,1,1,166,321,82,226,1,1,684,1,12,1,
1,1,1,1,1,1,167,322,82,229,1,1,385,1,13,1,
1,1,1,1,-1,1,167,324,82,229,1,1,668,1,15,1,
